,name,launch,industry,genre,batch,description,website
10,Inari,LAUNCHED: THU AUG 03 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,"An AI copilot for product development, operations, and analytics",
11,Latentspace,LAUNCHED: WED AUG 02 2023,ANALYTICS,B2B,S23,Streamline work with the help of AI-Powered Assistants,
12,"ten.devLimerick, County Limerick, Ireland; ",LAUNCHED: TUE AUG 01 2023,PRODUCTIVITY,B2B,S23,Helping software teams share knowledge effortlessly.,
13,DSensei,LAUNCHED: TUE AUG 01 2023,ANALYTICS,B2B,S23,Identify the root cause of KPI changes in minitues,
14,Vizly,LAUNCHED: TUE AUG 01 2023,ANALYTICS,B2B,S23,"Unlocking AI-powered data analysis, privately on your own device",
15,Egress,LAUNCHED: TUE AUG 01 2023,ANALYTICS,B2B,S23,AI layer for company data,
16,VectorShift,LAUNCHED: TUE AUG 01 2023,INFRASTRUCTURE,B2B,S23,Connecting AI workflows to end-users,
17,Trench,LAUNCHED: MON JUL 31 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Open source fraud prevention platform for marketplaces,
18,AutoEmber,LAUNCHED: MON JUL 31 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,"A visual design tool like Figma, but it makes real websites",
19,OpenPipe,LAUNCHED: MON JUL 31 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Turn expensive prompts into cheap fine-tuned models.,
20,Axilla,LAUNCHED: SUN JUL 30 2023,INFRASTRUCTURE,B2B,S23,End-to-end framework for building enterprise AI applications,
21,CambioML,LAUNCHED: SUN JUL 30 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,RLHF finetuning and data curation in one unified interface.,
22,Strada,LAUNCHED: FRI JUL 28 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Developer-first platform for enterprise integrations,
23,Hegel AI,LAUNCHED: THU JUL 27 2023,INFRASTRUCTURE,B2B,S23,Open source developer tools for large language models,
24,Upstream,LAUNCHED: WED JUL 26 2023,PRODUCTIVITY,B2B,S23,"A messaging app for teams, built on top of email",
25,Onward,LAUNCHED: WED JUL 26 2023,PRODUCTIVITY,B2B,S23,Meeting Automation for Ambitious Teams,
26,FiddleCube,LAUNCHED: WED JUL 26 2023,INFRASTRUCTURE,B2B,W23,Synthetic datasets for fine-tuning LLMs,
27,Apoxy,LAUNCHED: TUE JUL 25 2023,INFRASTRUCTURE,B2B,S23,The Proxy Platform,
28,"LangdockBerlin, Berlin, Germany; ",LAUNCHED: SAT JUL 22 2023,PRODUCTIVITY,B2B,S23,ChatGPT for Mid Market Companies,
29,Sidenote,LAUNCHED: THU JUL 20 2023,PRODUCTIVITY,B2B,S23,"Meeting follow-up, automated",
30,"Tempo LabsToronto, ON, Canada",LAUNCHED: THU JUL 20 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,AI design tool like figma which can edit any react codebase,
31,Metoro,LAUNCHED: THU JUL 20 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,The AI-powered production debugger,
32,Giga ML,LAUNCHED: THU JUL 20 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Platform to train and deploy on premise LLM's,
33,Shadeform,LAUNCHED: WED JUL 19 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,GPU Cloud With No Hardware - Solving for GPU Shortage,
34,Metalware,LAUNCHED: TUE JUL 18 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Copilot for firmware engineers,
35,Revamp,LAUNCHED: TUE JUL 18 2023,ANALYTICS,B2B,S23,Smarter Customer Segmentation for eCommerce,
36,WalletKit,LAUNCHED: TUE JUL 18 2023,INFRASTRUCTURE,B2B,S23,Developer platform for building web3 apps with simple HTTP APIs,
37,ztool,LAUNCHED: TUE JUL 18 2023,PRODUCTIVITY,B2B,S23,Effortlessly enrich spreadsheets,
38,Xeol,LAUNCHED: MON JUL 17 2023,INFRASTRUCTURE,B2B,S23,Software supply chains security platform,
39,Subsets,LAUNCHED: SUN JUL 16 2023,ANALYTICS,B2B,S23,The AI retention co-pilot for subscription businesses.,
40,Neum AI,LAUNCHED: FRI JUL 14 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Embeddings optimization at scale,
41,Sweetspot,LAUNCHED: THU JUL 13 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,AI-powered search engine for government contracts.,
42,Talc,LAUNCHED: THU JUL 13 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,LLM staging environments to help businesses launch AI product faster,
43,Serra,LAUNCHED: THU JUL 13 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Python-based DBT alternative,
44,Cedana,LAUNCHED: WED JUL 12 2023,INFRASTRUCTURE,B2B,S23,"Save, move and resume compute jobs in real-time",
45,Kino AI,LAUNCHED: WED JUL 12 2023,PRODUCTIVITY,B2B,S23,Kino automatically organizes footage to make video editing faster.,
46,SID,LAUNCHED: TUE JUL 11 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Connect customer's data to AI apps in an afternoon,
47,kapa.ai,LAUNCHED: MON JUL 10 2023,PRODUCTIVITY,B2B,S23,ChatGPT for developer-facing products,
48,Zelos Cloud,LAUNCHED: FRI JUL 07 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,The First Cloud Platform for Firmware Development and Testing,
49,"HavenBerlin, Berlin, Germany; ",LAUNCHED: WED JUL 05 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Run LLMs on Your Own Infrastructure,
50,Cerelyze,LAUNCHED: WED JUL 05 2023,PRODUCTIVITY,B2B,S23,Cerelyze turns technical research papers into useable code,
51,Cyclone,LAUNCHED: MON JUL 03 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,"Instant coding playground for any doc site, powered by GPT",
52,Continue,LAUNCHED: FRI JUN 30 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,The open-source coding autopilot,
53,Watto AI,LAUNCHED: THU JUN 29 2023,PRODUCTIVITY,B2B,S23,Help PMs by automatically generating documents from domain knowledge,
54,CodeStory,LAUNCHED: THU JUN 29 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,CodeStory is an AI powered mod of VSCode,
55,Intelliga,LAUNCHED: SUN JUN 25 2023,INFRASTRUCTURE,B2B,S23,The developer-first platform for AI phone calls,
56,Wyvern AI,LAUNCHED: SAT JUN 24 2023,INFRASTRUCTURE,B2B,S23,Machine learning platform for marketplaces,
57,"PoozleBengaluru, KA, India; ",LAUNCHED: SAT JUN 24 2023,PRODUCTIVITY,B2B,S23,Open source Plaid for LLMs,
58,Happyrobot,LAUNCHED: THU JUN 22 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,AI copilot to analyze satellite images with English queries,
59,"refineIstanbul, Istanbul, Turkey; ",LAUNCHED: THU JUN 22 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Open-source Retool for enterprise,
60,"EpsillaJersey City, NJ, USA; ",LAUNCHED: WED JUN 21 2023,INFRASTRUCTURE,B2B,S23,A 10x Faster Open Source Vector Database,
61,"ErgomakeSão Paulo, SP, Brazil; ",LAUNCHED: TUE JUN 20 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,On-demand staging and development environments.,
62,"Orbio EarthAmsterdam, NH, Netherlands; Berlin, Berlin, Germany; ",LAUNCHED: SUN JUN 18 2023,ANALYTICS,B2B,S23,Tracking methane emissions with satellites,
63,"TiptapBerlin, Berlin, Germany",LAUNCHED: SUN JUN 18 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Developer toolkit for building collaborative apps.,
64,sudocode,LAUNCHED: SAT JUN 17 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Code in plain english,
65,PeerDB,LAUNCHED: WED JUN 14 2023,ANALYTICS,B2B,S23,"Fast, native ETL for Postgres 🐘 🚀",
66,"MonitaurLas Vegas, NV, USA; ",LAUNCHED: TUE JUN 13 2023,INFRASTRUCTURE,B2B,S23,Datadog for Web3,
67,Structured,LAUNCHED: MON JUN 12 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Helping developers analyze logs with AI using plain English,
68,Dioxus Labs,LAUNCHED: THU JUN 08 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,"Web, Desktop, and Mobile apps with one codebase",
69,"Letter AIChicago, IL, USA; ",LAUNCHED: TUE JUN 06 2023,PRODUCTIVITY,B2B,S23,"All the content reps need to close deals, built 10x faster with AI",
70,Cedalio,LAUNCHED: FRI JUN 02 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,The easiest way to store auditable and traceable data,
71,Telophase,LAUNCHED: FRI MAY 19 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,Helping enterprise software teams serve customers globally,
72,Sweep,LAUNCHED: FRI MAY 19 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,S23,AI-powered junior developer for software teams,
73,Artie,LAUNCHED: WED MAY 17 2023,INFRASTRUCTURE,B2B,S23,Software that streams data from databases to warehouses in real-time,
74,Outset,LAUNCHED: FRI MAY 12 2023,ANALYTICS,B2B,S23,AI-powered user research,
75,LinkGrep,LAUNCHED: FRI MAR 31 2023,PRODUCTIVITY,B2B,W23,AI browser copilot for teams,
76,Semantic Finance,LAUNCHED: WED MAR 29 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,news data,
77,Squack,LAUNCHED: MON MAR 27 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Natural language RPA tools for accountants,
78,Lightski,LAUNCHED: WED MAR 15 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Embeddable Document Uploads,
79,Fastgen,LAUNCHED: TUE MAR 14 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Webflow for the Backend,
80,"SuperAPIChennai, TN, India; Bengaluru, KA, India",LAUNCHED: SAT MAR 11 2023,INFRASTRUCTURE,B2B,W23,Programmable API gateway that makes APIs cacheable,
81,Rosettic,LAUNCHED: THU MAR 09 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Break down AI and cloud costs by feature and customer,
82,Swishjam,LAUNCHED: WED MAR 08 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Open-source page speed tools to help you build incredible experiences,
83,"TecladaSunnyvale, CA, USA",LAUNCHED: MON MAR 06 2023,PRODUCTIVITY,B2B,W23,The modern terminal for modern developers.,
84,Clueso,LAUNCHED: SAT MAR 04 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,AI-powered customer activation platform for SaaS apps,
85,Dream3D,LAUNCHED: FRI MAR 03 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,AI-powered 3D Design,
86,CorgiAI,LAUNCHED: THU MAR 02 2023,ANALYTICS,B2B,W23,"CorgiAI is payment fraud prevention software for ecommerce, travel…",
87,Cardinal,LAUNCHED: WED MAR 01 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Enabling product teams to build measurable features.,
88,Vaero,LAUNCHED: WED MAR 01 2023,INFRASTRUCTURE,B2B,W23,Fivetran for log data,
89,Inkeep,LAUNCHED: WED MAR 01 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Neural search and ChatGPT for developer products,
90,ShortLoop,LAUNCHED: MON FEB 27 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Automated API Platform for fast-moving teams,
91,BuildJet,LAUNCHED: MON FEB 27 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,High-performance computing cloud,
92,Resync,LAUNCHED: SUN FEB 26 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Close the gap between your startup's goals and results,
93,Codeparrot,LAUNCHED: SUN FEB 26 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Continuous testing platform for APIs,
94,Nebula,LAUNCHED: SUN FEB 26 2023,INFRASTRUCTURE,B2B,W23,Code-level observability and debugging for large enterprises,
95,"Koala OpsTel Aviv-Yafo, Tel Aviv District, Israel",LAUNCHED: SUN FEB 26 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,A platform for developing microservices on Kubernetes,
96,Psychic,LAUNCHED: FRI FEB 24 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Data integration platform for LLMs,
97,Pierre,LAUNCHED: THU FEB 23 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Building a better github,
98,Index,LAUNCHED: WED FEB 22 2023,PRODUCTIVITY,B2B,W23,Collaborative planning for high-growth technology companies,
99,Texel.ai,LAUNCHED: WED FEB 22 2023,INFRASTRUCTURE,B2B,W23,Run AI pipelines 10x faster,
100,Muffin Data,LAUNCHED: TUE FEB 21 2023,ANALYTICS,B2B,W23,Modern analytics for CPG brands,
101,Chart,LAUNCHED: TUE FEB 21 2023,INFRASTRUCTURE,B2B,W23,Deploy fast ML infrastructure with one click,
102,Serial,LAUNCHED: TUE FEB 21 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Root cause manufacturing issues in seconds,
103,Portalform,LAUNCHED: SUN FEB 19 2023,INFRASTRUCTURE,B2B,W23,We help developers pull data from popular APIs to build integrations,
104,Onu,LAUNCHED: FRI FEB 17 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Turn scripts into internal tools in minutes without any frontend work,
105,TableFlow,LAUNCHED: WED FEB 15 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,The open source CSV importer,
106,OpenMeter,LAUNCHED: THU FEB 09 2023,INFRASTRUCTURE,B2B,W23,"Usage Metering for AI, Billing, Infrastructure, and IoT use-cases.",
107,Type,LAUNCHED: WED FEB 08 2023,PRODUCTIVITY,B2B,W23,The AI-first document editor.,
108,moonrepo,LAUNCHED: WED FEB 08 2023,PRODUCTIVITY,B2B,W23,Open source build tool for monorepos and large codebases,
109,LaunchFlow,LAUNCHED: WED FEB 08 2023,INFRASTRUCTURE,B2B,W23,Unlock Cloud Computing in your Code Editor,
110,Helicone,LAUNCHED: TUE FEB 07 2023,ANALYTICS,B2B,W23,Open-source observability platform for AI companies,
111,Blocksfabrik,LAUNCHED: TUE FEB 07 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Auto-generate UI components from design guidelines,
112,CodeComplete,LAUNCHED: FRI FEB 03 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,AI-powered code completion for enterprise.,
113,CreatorML,LAUNCHED: THU FEB 02 2023,ANALYTICS,B2B,W23,ML-Powered Predictive Analytics for YouTube Creators,
114,highlight.io,LAUNCHED: THU FEB 02 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,"The open source, fullstack monitoring platform: stop guessing why…",
115,Resend,LAUNCHED: TUE JAN 31 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Email API for developers,
116,Wild Moose,LAUNCHED: MON JAN 30 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Helping on-call devs tame production chaos with Generative AI,
117,Unstatiq,LAUNCHED: SUN JAN 29 2023,INFRASTRUCTURE,B2B,W23,Automatic data validation using AI,
118,Fern,LAUNCHED: SUN JAN 29 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,SDKs and documentation for your API,
119,Noya Software,LAUNCHED: FRI JAN 27 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Product design tool that lets everyone design like a designer,
120,Meru,LAUNCHED: FRI JAN 27 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Answer Every Question with Retrieval Augmented Generation.,
121,BabylonAI,LAUNCHED: THU JAN 26 2023,INFRASTRUCTURE,B2B,W23,Datadog for machine learning on edge devices,
122,PoplarML,LAUNCHED: WED JAN 25 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Deploy Machine Learning Models with One Command,
123,Sherloq,LAUNCHED: WED JAN 25 2023,ANALYTICS,B2B,W23,Github for data teams,
124,Middleware,LAUNCHED: WED JAN 25 2023,INFRASTRUCTURE,B2B,W23,AI-based full stack observability platform,
125,Atri Labs,LAUNCHED: TUE JAN 24 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Open-source web framework for Python developers,
126,Arroyo,LAUNCHED: TUE JAN 24 2023,INFRASTRUCTURE,B2B,W23,Snowflake for real-time data,
127,Drift Bio,LAUNCHED: TUE JAN 24 2023,ANALYTICS,B2B,W23,The operating system for life sciences data,
128,GradientJ,LAUNCHED: MON JAN 23 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Platform to build large language model applications,
129,Reflex,LAUNCHED: SUN JAN 22 2023,INFRASTRUCTURE,B2B,W23,(Previously Pynecone) Web apps in pure Python,
130,ZeroDev,LAUNCHED: SUN JAN 22 2023,INFRASTRUCTURE,B2B,W23,Account abstraction wallets as a service,
131,"MantysBengaluru, KA, India; ",LAUNCHED: SUN JAN 22 2023,ANALYTICS,B2B,W23,ARR Tracking and Forecasting for SaaS companies,
132,Metal,LAUNCHED: FRI JAN 20 2023,INFRASTRUCTURE,B2B,W23,Machine learning embeddings as a service,
133,Turntable,LAUNCHED: THU JAN 19 2023,ANALYTICS,B2B,W23,AI-native operating system for analytics teams,
134,Keep,LAUNCHED: THU JAN 19 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Open-source alert management for software developers.,
135,Mirrorful,LAUNCHED: MON JAN 16 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,The open-source design system framework,
136,"LangfuseBerlin, Berlin, Germany; ",LAUNCHED: MON JAN 16 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Open source observability & analytics for LLM apps,
137,Cakework,LAUNCHED: MON JAN 16 2023,INFRASTRUCTURE,B2B,W23,API that adds cloud hosting to any developer platform,
138,Outerbase,LAUNCHED: SUN JAN 15 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,The interface for your database,
139,Stack AI,LAUNCHED: FRI JAN 13 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,The platform to build LLM applications (i.e. ChatGPT ) in minutes.,
140,Vellum,LAUNCHED: FRI JAN 13 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Developer platform for building great AI applications,
141,Baselit,LAUNCHED: WED JAN 11 2023,ANALYTICS,B2B,W23,AI-powered analytics,
142,"Magicflow 𐂂Tel Aviv-Yafo, Tel Aviv District, Israel; ",LAUNCHED: TUE JAN 10 2023,INFRASTRUCTURE,B2B,W23,Webflow for AI development,
143,Berry,LAUNCHED: TUE JAN 10 2023,PRODUCTIVITY,B2B,W23,"A Chrome extension that turns any web app multiplayer, like Figma",
144,Planar,LAUNCHED: MON JAN 09 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Superhuman for code review,
145,Layup,LAUNCHED: SAT JAN 07 2023,PRODUCTIVITY,B2B,W23,AI that builds workflows across company apps,
146,MagnaPlay,LAUNCHED: FRI JAN 06 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,AI-powered game translation.,
147,"Defog.aiSingapore, Singapore; ",LAUNCHED: WED JAN 04 2023,ANALYTICS,B2B,W23,Fine-tuned LLMs for enterprise data analysis,
148,Defer,LAUNCHED: MON JAN 02 2023,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Zero infrastructure background processing platform.,
149,Frigade,LAUNCHED: TUE DEC 27 2022,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,"Build better product onboarding, faster.",
150,Rubber Ducky Labs,LAUNCHED: THU DEC 15 2022,"ENGINEERING, PRODUCT AND DESIGN",B2B,W23,Operational Analytics for Recommender Systems,
151,keyval,LAUNCHED: WED DEC 14 2022,INFRASTRUCTURE,B2B,W23,Open-source codeless monitoring pipeline,
