Company,Person,POC,Patient Data?,Consumer facing?,Description
Valar Labs,,,,,
Viz,,,,,
Season Health,,,,,
Deepcell,,,,,
SmithRx,,,,,
BillionToOne,,,,,
Qventus,,,,,
Scipher Medicine,,,,,
Future,,,,,
Pace,,,,,
Pristyn Care,,,,,
Robin Healthcare,,,,,
Therify,,,,,
SWORD Health,,,,,
Fountain Therapeutics,,,,,
Benchling,,,,,
Ribbon Health,,,,,
Cambridge Epigenetix,,,,,
Zeit Medical,,,,,
Truepill,,,,,
Sprinter Health,,,,,
Lightship,,,,,
Elemeno Health,,,,,
Nimble Pharmacy,,,,,
TrialSpark,,,,,
Loyal,,,,,
ROME Therapeutics,,,,,
GenEdit,,,,,
HeartLab,,,,,
Calibrate,,,,,
Centaur Labs,,,,,
Solv Health,,,,,
Thrive Global,,,,,
Aviron,,,,,
Modern Animal,,,,,
Connie Health,,,,,
CureFit,,,,,
Portea Medical,,,,,
Axio Biosolutions,,,,,
CareStack,,,,,
Multiply Labs,,,,,
Cofactor Genomics,,,,,
Bot MD,,,,,
H1,,,,,
Contraline,,,,,
Nanotronics Imaging,,,,,
Collective Health,,,,,
Virta Health,,,,,
Emulate,,,,,
Teckro,,,,,
Modern Health,,,,,
Florence Healthcare,,,,,
Fractyl Labs,,,,,
PharmEasy,,,,,
Decibel Therapeutics,,,,,
Centivo,,,,,
Verato,,,,,
Weave Communications,,,,,
Bright HealthCare,,,,,
Kinsa,,,,,
Honor,,,,,
Cedar,,,,,
Dyno Therapeutics,,,,,
Color,,,,,
Genalyte,,,,,
Flow Neuroscience,,,,,
Deep Genomics,,,,,
Inflammatix,,,,,
Tempo,,,,,
Oscar Health,,,,,
Forward,,,,,
Docbot,,,,,
Zipline,,,,,
Brii Biosciences,,,,,
Turtlemint,,,,,
Pendulum Therapeutics,,,,,
Limbix,,,,,
Olive,,,,,
Noom,,,,,
Zenoti,,,,,
FidoCure,,,,,
Pelago,,,,,
Lilia,,,,,
Helium Health,,,,,
Pair Team,,,,,
Peptilogics,,,,,
COMPASS Pathways,,,,,
Kymera Therapeutics,,,,,
DocsApp,,,,,
Accolade,,,,,
Eligo Bioscience,,,,,
Atomwise,,,,,
Probably Genetic,,,,,
Karius,,,,,
Yes Health,,,,,
HeartVista,,,,,
Clear Labs,,,,,
Siolta Therapeutics,,,,,
Siren Health,,,,,
Curai Health,,,,,
Practo,,,,,
Strava,,,,,
Vivace Therapeutics,,,,,
MedGenome,,,,,
Biofourmis,,,,,
Orasis Pharmaceuticals,,,,,
MedCrypt,,,,,
Candid,,,,,
SmileDirectClub,,,,,
Vicarious Surgical,,,,,
Daye,,,,,
Neurotrack,,,,,
Health Catalyst,,,,,
UNITY Biotechnology,,,,,
Naked Labs,,,,,
10% Happier,,,,,
voxelcloud,,,,,
Vaccitech,,,,,
Quince Therapeutics,,,,,
Amino,,,,,
BloomText,,,,,
thMednet,,,,,
Nuna,,,,,
Health IQ,,,,,
Catalia Health,,,,,
Guardant Health,,,,,
Luminostics,,,,,
TransMedics,,,,,
Grokker,,,,,
Clover Health,,,,,
Omada Health,,,,,
Oxford Nanopore Technologies,,,,,
Nymbl Science,,,,,
Doctify,,,,,
AltoPharmacy,,,,,
ThymeCare,,,,,
Oura,,,,,
Aiforia,,,,,
Agendia,,,,,
Metriport,,,,,
Malama,,,,,
PneumaHealth,,,,,
DoctorLink,,,,,
Thriva,,,,,
Huma Therapeutics,,,,,
LloydsDirect,,,,,
DNANudge,,,,,
First Dollar,,,,,
Inato,,,,,
Headway,,,,,
Ganymed Robotics,,,,,
OchreBio,,,,,
Lifelet Medical,,,,,
MindMaze,,,,,
Onera Health,,,,,
Kheiron Medical,,,,,
NAOMI,,,,,
Ava,,,,,
Doctolib,,,,,
Amra,,,,,
Ottonova,,,,,
Oviva,,,,,
AccuRx,,,,,
Second Nature,,,,,
Peachy,,,,,
Modern Fertility,,,,,
Novoic,,,,,
Plush Care,,,,,
PatientPop,,,,,
